contrast_key,contrast_label,kinase,n_substrates,mean_lfc,z_perm,null_mean,null_std
aCD3_aCD226_5min,αCD3+αCD226 5min,TTK,5,-1.5714000000000001,-1.8140074800072596,0.9890469999999999,1.4114864620016634
aCD3_aCD226_5min,αCD3+αCD226 5min,LATS2,7,1.4949999999999999,0.35493931461846834,1.041045,1.2789651112274378
aCD3_aCD226_5min,αCD3+αCD226 5min,PAK2,7,-0.1284285714285713,-0.7705811240584347,0.8026464285714286,1.2082764175383496
aCD3_aCD226_5min,αCD3+αCD226 5min,FYN,27,2.2754814814814814,2.4365716929938954,0.984748148148148,0.5297333696540515
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKAA2,14,-0.32314285714285723,-1.4800157443525972,0.9052525,0.8299880334585182
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKAA1,51,1.5310392156862742,1.3770279727833041,0.9516311764705881,0.42076708002130364
aCD3_aCD226_5min,αCD3+αCD226 5min,AKT1,97,0.8698865979381444,-0.35599077729109874,0.979190206185567,0.3070405617784965
aCD3_aCD226_5min,αCD3+αCD226 5min,SRPK2,5,-1.8596,-2.1177083015349316,1.050706,1.3742714225045003
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKCD,28,1.3213571428571427,0.6100381475806675,0.9774191071428572,0.5637975872136838
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKCE,11,1.7402727272727276,0.7801138395409182,1.031005909090909,0.909183739900331
aCD3_aCD226_5min,αCD3+αCD226 5min,MAPK14,32,1.34303125,0.9260306326169109,0.85493328125,0.5270862016417991
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKCA,70,1.4228714285714288,1.174188416912647,0.9614360714285715,0.3929823787191945
aCD3_aCD226_5min,αCD3+αCD226 5min,AKT3,13,1.071,0.0572427146526097,1.023318076923077,0.8329780194089582
aCD3_aCD226_5min,αCD3+αCD226 5min,AKT2,9,1.9196666666666669,0.9117276578129672,1.0480205555555555,0.9560378076080278
aCD3_aCD226_5min,αCD3+αCD226 5min,CDK5,35,0.9862857142857143,0.05244978279952634,0.9598647142857143,0.5037389783097181
aCD3_aCD226_5min,αCD3+αCD226 5min,CHEK1,152,0.7420131578947369,-0.8186923133463496,0.9356301973684211,0.2364954895964366
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKACA,118,1.8236186440677966,3.167635989116193,0.9747768220338984,0.2679732851092953
aCD3_aCD226_5min,αCD3+αCD226 5min,PRKCZ,8,2.776625,1.7547989486480804,0.8690481250000001,1.0870629233449347
